Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct,year
61769756,07/11/2024 07:09:45 PM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,10307.0,HYLAN BOULEVARD,HYLAN BOULEVARD,HYLAN BOULEVARD,JOLINE AVENUE,HYLAN BOULEVARD,JOLINE AVENUE,INTERSECTION,,,,In Progress,,,,03 STATEN ISLAND,,STATEN ISLAND,918929.0,123782.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.50618752519218,-74.23489446995248,"(40.50618752519218, -74.23489446995248)",10694.0,15.0,1.0,9.0,77.0,77.0,2024
61774344,07/11/2024 06:25:43 PM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10307.0,5 LULU COURT,LULU COURT,BEDELL AVENUE,DEAD END,BEDELL AVENUE,DEAD END,ADDRESS,STATEN ISLAND,LULU COURT,,In Progress,,The Department of Sanitation cleaned the location.,07/12/2024 12:41:11 AM,03 STATEN ISLAND,5078000070.0,STATEN ISLAND,919702.0,122822.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5035581638742,-74.23210562607646,"(40.503558163874196, -74.23210562607646)",10694.0,15.0,1.0,9.0,77.0,77.0,2024
61771974,07/11/2024 04:16:22 PM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,10307.0,HYLAN BOULEVARD,HYLAN BOULEVARD,HYLAN BOULEVARD,SPRAGUE AVENUE,HYLAN BOULEVARD,SPRAGUE AVENUE,INTERSECTION,,,,In Progress,,,,03 STATEN ISLAND,,STATEN ISLAND,918016.0,123544.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.50552749376759,-74.23817527700348,"(40.50552749376759, -74.23817527700348)",10694.0,15.0,1.0,9.0,77.0,77.0,2024
61775271,07/11/2024 12:15:58 PM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11356.0,128-20 14 AVENUE,14 AVENUE,128 STREET,129 STREET,128 STREET,129 STREET,ADDRESS,COLLEGE POINT,14 AVENUE,,In Progress,,,,07 QUEENS,4040950036.0,QUEENS,1028554.0,225471.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.78543094949108,-73.84001464778405,"(40.78543094949108, -73.84001464778405)",14191.0,22.0,3.0,20.0,67.0,67.0,2024
61773167,07/11/2024 11:26:29 AM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11362.0,242-71 61 AVENUE,61 AVENUE,DOUGLASTON PARKWAY,244 STREET,DOUGLASTON PARKWAY,244 STREET,ADDRESS,LITTLE NECK,61 AVENUE,,In Progress,,,,11 QUEENS,4082760002.0,QUEENS,1056968.0,214695.0,PHONE,Unspecified,QUEENS,,,,,,,,40.75566565851706,-73.73752647141625,"(40.75566565851706, -73.73752647141625)",14197.0,26.0,3.0,16.0,69.0,69.0,2024
61776453,07/11/2024 10:41:37 AM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11423.0,80-36 193 STREET,193 STREET,UNION TURNPIKE,81 AVENUE,UNION TURNPIKE,81 AVENUE,ADDRESS,HOLLIS,193 STREET,,In Progress,,,,08 QUEENS,4072690022.0,QUEENS,1045994.0,205109.0,PHONE,Unspecified,QUEENS,,,,,,,,40.729438007775926,-73.77722461737899,"(40.729438007775926, -73.77722461737899)",24332.0,25.0,3.0,16.0,65.0,65.0,2024
61776454,07/11/2024 08:35:06 AM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10307.0,5 LULU COURT,LULU COURT,BEDELL AVENUE,DEAD END,BEDELL AVENUE,DEAD END,ADDRESS,STATEN ISLAND,LULU COURT,,In Progress,,The Department of Sanitation cleaned the location.,07/12/2024 12:41:07 AM,03 STATEN ISLAND,5078000070.0,STATEN ISLAND,919702.0,122822.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5035581638742,-74.23210562607646,"(40.503558163874196, -74.23210562607646)",10694.0,15.0,1.0,9.0,77.0,77.0,2024
61768372,07/11/2024 08:27:49 AM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10466.0,4223 SETON AVENUE,SETON AVENUE,BUSSING AVENUE,CITY LIMIT,BUSSING AVENUE,CITY LIMIT,ADDRESS,BRONX,SETON AVENUE,,In Progress,,,,12 BRONX,2050310025.0,BRONX,1028683.0,265889.0,PHONE,Unspecified,BRONX,,,,,,,,40.89636572368304,-73.83928103300782,"(40.89636572368304, -73.83928103300782)",24894.0,29.0,5.0,2.0,30.0,30.0,2024
61758881,07/10/2024 06:35:45 PM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11433.0,110-37 167 STREET,167 STREET,110 ROAD,111 AVENUE,110 ROAD,111 AVENUE,ADDRESS,JAMAICA,167 STREET,,In Progress,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/11/2024 12:32:29 PM,12 QUEENS,4101980037.0,QUEENS,1043865.0,192174.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69394922194019,-73.78502065908351,"(40.69394922194019, -73.78502065908351)",24668.0,41.0,3.0,6.0,71.0,71.0,2024
61758880,07/10/2024 03:44:53 PM,07/11/2024 02:27:41 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11420.0,133-25 130 STREET,130 STREET,133 AVENUE,135 AVENUE,133 AVENUE,135 AVENUE,ADDRESS,SOUTH OZONE PARK,130 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/11/2024 05:18:20 AM,10 QUEENS,4117890021.0,QUEENS,1037112.0,183386.0,PHONE,Unspecified,QUEENS,,,,,,,,40.669871130785225,-73.80944170147501,"(40.669871130785225, -73.80944170147501)",24016.0,62.0,3.0,46.0,64.0,64.0,2024
61766801,07/10/2024 09:49:39 AM,07/11/2024 10:35:18 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11378.0,GRANDVIEW AVENUE,GRANDVIEW AVENUE,GRANDVIEW AVENUE,METROPOLITAN AVENUE,GRANDVIEW AVENUE,METROPOLITAN AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/10/2024 10:32:22 PM,05 QUEENS,,QUEENS,1008358.0,199175.0,PHONE,Unspecified,QUEENS,,,,,,,,40.71333326430659,-73.91303824862597,"(40.71333326430659, -73.91303824862597)",15310.0,54.0,3.0,34.0,62.0,62.0,2024
61765463,07/10/2024 07:18:40 AM,07/11/2024 10:35:17 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11378.0,GRANDVIEW AVENUE,GRANDVIEW AVENUE,GRANDVIEW AVENUE,METROPOLITAN AVENUE,GRANDVIEW AVENUE,METROPOLITAN AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/10/2024 10:32:22 PM,05 QUEENS,,QUEENS,1008358.0,199175.0,PHONE,Unspecified,QUEENS,,,,,,,,40.71333326430659,-73.91303824862597,"(40.71333326430659, -73.91303824862597)",15310.0,54.0,3.0,34.0,62.0,62.0,2024
61762795,07/10/2024 02:01:28 AM,07/11/2024 02:19:26 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11432.0,179-39 80 ROAD,80 ROAD,SURREY PLACE,KENT STREET,SURREY PLACE,KENT STREET,ADDRESS,JAMAICA,80 ROAD,,Closed,,The Department of Sanitation cleaned the location.,07/10/2024 12:17:35 PM,08 QUEENS,4072290064.0,QUEENS,1043039.0,203886.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72610131423202,-73.78789704420373,"(40.72610131423202, -73.78789704420373)",24340.0,25.0,3.0,24.0,65.0,65.0,2024
61757628,07/09/2024 09:40:50 AM,07/10/2024 02:20:43 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11236.0,2 PAERDEGAT    8 STREET,PAERDEGAT    8 STREET,PAERDEGAT AVENUE NORTH,EAST   80 STREET,PAERDEGAT AVENUE NORTH,EAST   80 STREET,ADDRESS,BROOKLYN,PAERDEGAT    8 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/10/2024 12:37:30 PM,18 BROOKLYN,3080580016.0,BROOKLYN,1010000.0,168634.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62950048679488,-73.90723194292241,"(40.629500486794875, -73.90723194292241)",13827.0,5.0,2.0,8.0,42.0,42.0,2024
61748002,07/09/2024 07:27:41 AM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,10301.0,95 MONROE AVENUE,MONROE AVENUE,BENZIGER AVENUE,CORSON AVENUE,BENZIGER AVENUE,CORSON AVENUE,ADDRESS,STATEN ISLAND,MONROE AVENUE,,In Progress,,The Department of Sanitation removed the items.,07/09/2024 08:07:51 PM,01 STATEN ISLAND,5000170018.0,STATEN ISLAND,962322.0,172181.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63924652992504,-74.07901028959427,"(40.63924652992504, -74.07901028959427)",10369.0,4.0,1.0,13.0,74.0,74.0,2024
61747111,07/09/2024 05:40:36 AM,07/10/2024 10:22:16 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10469.0,1584 ASTOR AVENUE,ASTOR AVENUE,MICKLE AVENUE,WESTERVELT AVENUE,MICKLE AVENUE,WESTERVELT AVENUE,ADDRESS,BRONX,ASTOR AVENUE,,Closed,,The Department of Sanitation cleaned the location.,07/09/2024 07:23:41 AM,11 BRONX,2043950022.0,BRONX,1028365.0,252381.0,PHONE,Unspecified,BRONX,,,,,,,,40.859292101933725,-73.84052022522512,"(40.859292101933725, -73.84052022522512)",11607.0,59.0,5.0,12.0,32.0,32.0,2024
61743746,07/08/2024 06:19:02 PM,07/10/2024 12:21:53 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11413.0,134-14 225 STREET,225 STREET,MERRICK BOULEVARD,135 AVENUE,MERRICK BOULEVARD,135 AVENUE,ADDRESS,SPRINGFIELD GARDENS,225 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/09/2024 10:27:37 AM,13 QUEENS,,QUEENS,1054964.0,186096.0,PHONE,Unspecified,QUEENS,,,,,,,,40.67718484826725,-73.74506023827861,"(40.67718484826725, -73.74506023827861)",15313.0,63.0,3.0,47.0,63.0,63.0,2024
61743747,07/08/2024 04:37:37 PM,07/10/2024 12:18:55 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11413.0,134-20 225 STREET,225 STREET,MERRICK BOULEVARD,135 AVENUE,MERRICK BOULEVARD,135 AVENUE,ADDRESS,SPRINGFIELD GARDENS,225 STREET,,Closed,,The Department of Sanitation found an open service request already exists for the same location.,07/09/2024 04:55:44 AM,13 QUEENS,4131050005.0,QUEENS,1054953.0,186073.0,PHONE,Unspecified,QUEENS,,,,,,,,40.67712180659318,-73.74510013680049,"(40.67712180659318, -73.74510013680049)",15313.0,63.0,3.0,47.0,63.0,63.0,2024
