,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct,year
9,61774344,07/11/2024 06:25:43 PM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10307.0,5 LULU COURT,LULU COURT,BEDELL AVENUE,DEAD END,BEDELL AVENUE,DEAD END,ADDRESS,STATEN ISLAND,LULU COURT,,In Progress,,The Department of Sanitation cleaned the location.,07/12/2024 12:41:11 AM,03 STATEN ISLAND,5078000070.0,STATEN ISLAND,919702.0,122822.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5035581638742,-74.23210562607646,"(40.503558163874196, -74.23210562607646)",10694.0,15.0,1.0,9.0,77.0,77.0,2024
34,61776454,07/11/2024 08:35:06 AM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10307.0,5 LULU COURT,LULU COURT,BEDELL AVENUE,DEAD END,BEDELL AVENUE,DEAD END,ADDRESS,STATEN ISLAND,LULU COURT,,In Progress,,The Department of Sanitation cleaned the location.,07/12/2024 12:41:07 AM,03 STATEN ISLAND,5078000070.0,STATEN ISLAND,919702.0,122822.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5035581638742,-74.23210562607646,"(40.503558163874196, -74.23210562607646)",10694.0,15.0,1.0,9.0,77.0,77.0,2024
73,61762795,07/10/2024 02:01:28 AM,07/11/2024 02:19:26 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11432.0,179-39 80 ROAD,80 ROAD,SURREY PLACE,KENT STREET,SURREY PLACE,KENT STREET,ADDRESS,JAMAICA,80 ROAD,,Closed,,The Department of Sanitation cleaned the location.,07/10/2024 12:17:35 PM,08 QUEENS,4072290064.0,QUEENS,1043039.0,203886.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72610131423202,-73.78789704420373,"(40.72610131423202, -73.78789704420373)",24340.0,25.0,3.0,24.0,65.0,65.0,2024
104,61748002,07/09/2024 07:27:41 AM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,10301.0,95 MONROE AVENUE,MONROE AVENUE,BENZIGER AVENUE,CORSON AVENUE,BENZIGER AVENUE,CORSON AVENUE,ADDRESS,STATEN ISLAND,MONROE AVENUE,,In Progress,,The Department of Sanitation removed the items.,07/09/2024 08:07:51 PM,01 STATEN ISLAND,5000170018.0,STATEN ISLAND,962322.0,172181.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63924652992504,-74.07901028959427,"(40.63924652992504, -74.07901028959427)",10369.0,4.0,1.0,13.0,74.0,74.0,2024
109,61747111,07/09/2024 05:40:36 AM,07/10/2024 10:22:16 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10469.0,1584 ASTOR AVENUE,ASTOR AVENUE,MICKLE AVENUE,WESTERVELT AVENUE,MICKLE AVENUE,WESTERVELT AVENUE,ADDRESS,BRONX,ASTOR AVENUE,,Closed,,The Department of Sanitation cleaned the location.,07/09/2024 07:23:41 AM,11 BRONX,2043950022.0,BRONX,1028365.0,252381.0,PHONE,Unspecified,BRONX,,,,,,,,40.859292101933725,-73.84052022522512,"(40.859292101933725, -73.84052022522512)",11607.0,59.0,5.0,12.0,32.0,32.0,2024
132,61742343,07/08/2024 06:51:42 AM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11210.0,1571 ALBANY AVENUE,ALBANY AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,FARRAGUT ROAD,GLENWOOD ROAD,ADDRESS,BROOKLYN,ALBANY AVENUE,,In Progress,,The Department of Sanitation removed the items.,07/08/2024 01:15:33 PM,17 BROOKLYN,3050160007.0,BROOKLYN,1001649.0,170693.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63517234284646,-73.93731229335181,"(40.63517234284646, -73.93731229335181)",17217.0,61.0,2.0,26.0,40.0,40.0,2024
139,61730000,07/07/2024 05:41:15 PM,07/09/2024 11:53:35 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11434.0,116-22 MARSDEN STREET,MARSDEN STREET,116 AVENUE,166 STREET,116 AVENUE,166 STREET,ADDRESS,JAMAICA,MARSDEN STREET,,Closed,,The Department of Sanitation cleaned the location.,07/08/2024 06:51:10 AM,12 QUEENS,4123350109.0,QUEENS,1044722.0,189310.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68608241121175,-73.78195592770948,"(40.68608241121175, -73.78195592770948)",24669.0,41.0,3.0,46.0,71.0,71.0,2024
151,61732061,07/07/2024 12:57:21 PM,07/09/2024 08:48:00 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10452.0,237 WEST  167 STREET,WEST  167 STREET,WEST  168 STREET,SEDGWICK AVENUE,WEST  168 STREET,SEDGWICK AVENUE,ADDRESS,BRONX,WEST  167 STREET,,Closed,,The Department of Sanitation cleaned the location.,07/08/2024 04:12:25 AM,04 BRONX,2025300007.0,BRONX,1004049.0,245103.0,PHONE,Unspecified,BRONX,,,,,,,,40.83940417008936,-73.92844622614352,"(40.83940417008936, -73.92844622614352)",10930.0,50.0,5.0,42.0,27.0,27.0,2024
158,61733142,07/07/2024 11:43:58 AM,07/09/2024 02:41:37 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11207.0,9 SCHENCK AVENUE,SCHENCK AVENUE,JAMAICA AVENUE,ARLINGTON AVENUE,JAMAICA AVENUE,ARLINGTON AVENUE,ADDRESS,BROOKLYN,SCHENCK AVENUE,,Closed,,The Department of Sanitation cleaned the location.,07/08/2024 06:50:40 AM,05 BROOKLYN,3039200017.0,BROOKLYN,1014606.0,187411.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.681024616177126,-73.89055366552108,"(40.681024616177126, -73.89055366552108)",17214.0,45.0,2.0,37.0,47.0,47.0,2024
244,61707394,07/04/2024 08:04:12 PM,07/06/2024 02:08:00 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11365.0,184-10 64 AVENUE,64 AVENUE,184 STREET,185 STREET,184 STREET,185 STREET,ADDRESS,FRESH MEADOWS,64 AVENUE,,Closed,,The Department of Sanitation cleaned the location.,07/05/2024 11:59:09 AM,08 QUEENS,4070910005.0,QUEENS,1042657.0,208275.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.73815053774216,-73.7892371449863,"(40.73815053774216, -73.7892371449863)",14507.0,25.0,3.0,24.0,65.0,65.0,2024
267,61707395,07/04/2024 01:20:26 PM,07/06/2024 01:45:48 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10469.0,3011 BRONXWOOD AVENUE,BRONXWOOD AVENUE,ADEE AVENUE,BURKE AVENUE,ADEE AVENUE,BURKE AVENUE,ADDRESS,BRONX,BRONXWOOD AVENUE,,Closed,,The Department of Sanitation cleaned the location.,07/05/2024 04:39:21 AM,12 BRONX,2045730046.0,BRONX,1022573.0,256235.0,ONLINE,Unspecified,BRONX,,,,,,,,40.86989719384461,-73.86143676055208,"(40.86989719384461, -73.86143676055208)",11605.0,29.0,5.0,2.0,30.0,30.0,2024
275,61700176,07/04/2024 11:32:15 AM,07/05/2024 01:53:27 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11420.0,122 STREET,122 STREET,122 STREET,SUTTER AVENUE,122 STREET,SUTTER AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,07/05/2024 04:44:57 AM,10 QUEENS,,QUEENS,1035020.0,184768.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.6736766469254,-73.81697256533013,"(40.6736766469254, -73.81697256533013)",24016.0,62.0,3.0,46.0,64.0,64.0,2024
